expression,ko_used_by_youtuber,glossary_id,glossary_term,match_type,note
Overshoot,역잔상,PQ-135,오버슈트,신규추가,
Ringing,링잉,PQ-135,오버슈트,기존(관련),역잔상 링잉은 overshoot의 표현
Undershoot,,PQ-136,언더슈트,신규추가,
Ghosting,잔상,PQ-034,고스팅,기존,
Black crush,암부 뭉개짐,PQ-130,블랙 크러시,신규추가,
Blooming,번짐,PQ-129,블루밍,신규추가,
Halo,후광,PQ-133,헤일로,신규추가,
Elevated black,들뜬 블랙,PQ-132,들뜬 블랙,신규추가,
Ambient black,앰비언트 블랙,PQ-156,앰비언트 블랙,신규추가,
Sparkle,자글거림,PQ-122,스파클,기존,컬러스케일은 '자글거림'으로 표현
APL,,PQ-124,평균 화면 밝기,신규추가,
ABL,자동 밝기 제한,PQ-125,자동 밝기 제한,신규추가,
Sustained luminance,지속 휘도,PQ-126,지속 휘도,신규추가,
Peak luminance,최대 휘도,PQ-005,최대휘도,기존,
VRR,가변 주사율,PQ-127,가변 주사율,신규추가,
Gamma shift,,PQ-128,감마 변이,신규추가,
Roll-off,,PQ-131,롤오프,신규추가,
Clipping,뭉개짐,PQ-088,화이트 클리핑,기존,고휘도 클리핑 문맥
PWM,,PQ-134,펄스폭 변조,신규추가,
LUT,,PQ-137,룩업 테이블,신규추가,
SPD,,PQ-138,분광 분포,신규추가,
ACR,인지 명암비,PQ-139,인지 명암비,신규추가,
Local dimming,로컬 디밍,PQ-140,로컬 디밍,신규추가,
Dimming zone,디밍존,PQ-141,디밍존,신규추가,
Reflectance,반사율,PQ-142,반사율,신규추가,
Pixel refresher,,PQ-143,픽셀 리프레셔,신규추가,
Calibration,캘리브레이션,PQ-144,캘리브레이션,신규추가,
Chroma subsampling,,PQ-145,크로마 서브샘플링,신규추가,
Tandem OLED,,PQ-146,탠덤 OLED,신규추가,
IPS Glow,,PQ-147,IPS 글로우,신규추가,
Backlight bleeding,빛샘,PQ-148,빛샘,신규추가,
Metamerism,조건등색,PQ-149,조건등색,신규추가,
Input lag,입력 지연,PQ-150,입력 지연,신규추가,
Over-saturation,색상 과도화,PQ-151,색 과포화,신규추가,
Overdrive,,PQ-152,오버드라이브,신규추가,
Posterization,깃털 계조,PQ-153,포스터라이제이션,신규추가,'깃털 계조'는 콜로키얼
Banding,깃털 계조,PQ-023,밴딩,기존,
Jelly scroll,젤리 스크롤,PQ-154,젤리 스크롤,신규추가,
MLA,,PQ-155,마이크로 렌즈 어레이,신규추가,
CMS,컬러 매니지먼트,PQ-157,컬러 매니지먼트,신규추가,
ICC profile,,PQ-158,ICC 프로파일,신규추가,
Anti-glare (AG),,PQ-159,안티글레어,신규추가,
Anti-reflection (AR),반사 방지,PQ-160,반사 방지,신규추가,
Image retention,일시적 잔상,PQ-161,일시적 잔상,신규추가,
Off-axis color shift,색변이,PQ-015,색편이,기존,
EOTF,,PQ-087,전기광학 전달함수,기존,
Tone mapping,,PQ-025,톤 매핑,기존,
Delta E,,PQ-016,색차,기존,CIE76/CIEDE2000
White point,,PQ-019,백색점,기존,D65 기준
GtG,,PQ-036,그레이 투 그레이,기존,
MPRT,,PQ-037,동영상 응답시간,기존,
Burn-in,번인,PQ-028,번인,기존,
Uniformity,균일도,PQ-117,휘도 균일도,기존,
PenTile,,PQ-047,픽셀 배열,기존,Diamond PenTile 등
PPI / HiDPI,,PQ-045,화소밀도,기존(관련),
