id,category,en_term,ko_term,ko_synonyms,abbr,definition_ko,translation_note,source
PQ-001,휘도/명암,Luminance,휘도,밝기,,단위 면적당 발산하는 빛의 밝기(cd/m²). 화면이 내는 빛의 세기.,"'Brightness(밝기)'와 혼용되나 휘도는 측정량, 밝기는 지각량. 문맥상 구분 권장.",일반(seed)
PQ-002,휘도/명암,Brightness,밝기,,,사람이 지각하는 화면의 밝은 정도.,측정값을 말할 때는 '휘도(Luminance)'로 번역.,일반(seed)
PQ-003,휘도/명암,Contrast ratio,명암비,콘트라스트비,CR,가장 밝은 흰색과 가장 어두운 검은색 휘도의 비율.,'대비비'로 오역 주의. 표준 표기는 '명암비'.,일반(seed)
PQ-004,휘도/명암,Black level,블랙레벨,흑색 레벨,,검은색을 표시할 때의 휘도. 낮을수록 깊은 검정.,음차 표기 '블랙레벨' 권장. '검정 레벨'도 허용.,일반(seed)
PQ-005,휘도/명암,Peak luminance,최대휘도,피크휘도,,화면이 낼 수 있는 최대 밝기(주로 HDR 성능 지표).,'최고휘도'와 혼용. '최대휘도'로 통일 권장.,일반(seed)
PQ-006,휘도/명암,Dynamic range,다이내믹레인지,동적 범위,DR,최소~최대 휘도의 표현 범위.,사내 문서는 '다이내믹레인지' 음차 다수. '동적 범위' 병기 가능.,일반(seed)
PQ-007,휘도/명암,High Dynamic Range,하이 다이내믹 레인지,고명암비 영상,HDR,넓은 휘도·색 범위를 표현하는 영상 규격.,약어 'HDR' 유지 권장. 풀어 쓸 때 표기 통일 필요.,일반(seed)
PQ-008,휘도/명암,Gamma,감마,,,입력 신호와 출력 휘도의 비선형 관계를 나타내는 곡선/지수.,고유명사성 용어. '감마' 유지.,일반(seed)
PQ-009,휘도/명암,Backlight,백라이트,후면광,BLU,LCD에서 뒤에서 빛을 공급하는 광원.,OLED에는 백라이트가 없음(자발광). 패널 종류 확인 후 번역.,일반(seed)
PQ-010,색,Color gamut,색역,색재현 범위,,디스플레이가 표현 가능한 색의 범위.,'색영역'으로도 번역되나 표준은 '색역'.,일반(seed)
PQ-011,색,Color reproduction,색재현율,색재현성,,기준 색공간 대비 실제 표현하는 색의 비율/충실도.,'색재현율'(비율)과 '색재현성'(성질) 문맥 구분.,일반(seed)
PQ-012,색,Color temperature,색온도,,CCT,백색의 색감을 켈빈(K)으로 나타낸 값.,단위 K 유지. '색 온도' 띄어쓰기 지양.,일반(seed)
PQ-013,색,White balance,화이트밸런스,백색 균형,WB,백색이 색편차 없이 표현되도록 맞추는 것.,음차 '화이트밸런스' 권장.,일반(seed)
PQ-014,색,Color accuracy,색정확도,색 정확성,,목표 색과 실제 표시 색의 일치 정도.,ΔE 지표와 함께 쓰임.,일반(seed)
